Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,
Both Sexes,,,,,,,,,,,,,,,,,,,
.18 years and over,"250,563",834,"1,469","3,163","3,413","3,604","3,958","10,118","70,947","45,028","10,381","14,168","53,312","22,459","3,150","4,557",,,
..18 to 24 years,"29,085",66,57,52,101,240,562,"3,508","8,688","10,338",641,"1,171","3,375",245,14,28,,,
.25 years and over,"221,478",769,"1,412","3,111","3,312","3,365","3,397","6,611","62,259","34,690","9,741","12,998","49,937","22,214","3,136","4,529",,,
..25 to 29 years,"23,277",72,41,112,132,233,254,667,"6,089","4,243",978,"1,438","6,823","1,803",171,221,,,
..30 to 34 years,"21,932",42,77,212,223,250,275,675,"5,549","3,287","1,018","1,305","5,904","2,294",360,461,,,
..35 to 39 years,"21,443",63,118,274,229,390,343,598,"5,184","2,984","1,009","1,265","5,515","2,643",299,530,,,
..40 to 44 years,"19,584",76,107,339,293,367,258,550,"4,990","2,737",834,"1,215","4,671","2,361",330,455,,,
..45 to 49 years,"20,345",75,114,334,268,342,251,589,"5,299","3,000",935,"1,327","4,785","2,229",313,484,,,
..50 to 54 years,"20,355",62,102,298,274,335,270,665,"5,831","3,059",936,"1,270","4,492","2,075",295,393,,,
..55 to 59 years,"21,163",54,151,347,283,311,366,700,"6,374","3,370","1,007","1,307","4,348","1,908",266,370,,,
..60 to 64 years,"20,592",65,140,318,289,273,318,640,"6,423","3,223",924,"1,355","4,051","1,867",329,375,,,
..65 to 69 years,"17,356",68,121,243,264,251,278,439,"4,927","3,042",776,"1,009","3,495","1,775",262,404,,,
..70 to 74 years,"14,131",55,143,168,247,178,261,383,"4,130","2,346",556,765,"2,693","1,560",240,405,,,
..75 years and over,"21,301",137,298,466,809,435,522,705,"7,462","3,398",767,740,"3,160","1,699",271,431,,,
Male,,,,,,,,,,,,,,,,,,,
.18 years and over,"121,301",410,743,"1,653","1,653","1,769","2,014","5,377","36,076","21,500","4,809","5,949","25,206","9,721","1,827","2,596",,,
..18 to 24 years,"14,605",32,38,29,47,148,291,"1,928","4,819","4,909",321,501,"1,421",100,7,16,,,
.25 years and over,"106,695",378,705,"1,624","1,607","1,621","1,723","3,449","31,257","16,591","4,488","5,448","23,785","9,621","1,820","2,580",,,
..25 to 29 years,"11,792",39,28,60,83,123,138,387,"3,416","2,227",436,644,"3,302",734,80,96,,,
..30 to 34 years,"10,935",39,41,119,117,120,155,380,"3,178","1,632",454,547,"2,841",858,216,238,,,
..35 to 39 years,"10,629",33,75,149,115,217,198,330,"2,951","1,512",501,516,"2,566","1,068",141,255,,,
..40 to 44 years,"9,628",51,69,180,128,184,161,266,"2,740","1,350",413,580,"2,136",966,161,241,,,
..45 to 49 years,"9,993",36,54,178,142,188,126,348,"2,940","1,472",456,605,"2,070",985,141,253,,,
..50 to 54 years,"9,930",27,42,156,154,159,141,372,"3,057","1,514",425,519,"2,072",901,155,237,,,
..55 to 59 years,"10,046",31,68,214,146,164,197,388,"3,116","1,443",484,507,"2,065",854,162,206,,,
..60 to 64 years,"9,819",19,66,175,135,111,149,325,"3,171","1,487",438,533,"1,949",817,223,220,,,
..65 to 69 years,"8,198",32,49,115,121,130,118,211,"2,212","1,489",335,384,"1,779",790,184,248,,,
..70 to 74 years,"6,691",10,66,80,113,72,119,153,"1,753","1,099",257,329,"1,459",769,146,266,,,
..75 years and over,"9,034",60,145,197,353,153,219,290,"2,724","1,366",290,285,"1,545",877,211,321,,,
Female,,,,,,,,,,,,,,,,,,,
.18 years and over,"129,262",425,726,"1,510","1,760","1,836","1,945","4,742","34,872","23,528","5,572","8,220","28,106","12,738","1,324","1,960",,,
..18 to 24 years,"14,479",34,19,23,55,92,271,"1,580","3,870","5,429",320,670,"1,954",145,7,12,,,
.25 years and over,"114,783",391,707,"1,487","1,705","1,744","1,674","3,162","31,002","18,099","5,252","7,550","26,151","12,593","1,317","1,948",,,
..25 to 29 years,"11,485",33,12,52,49,110,116,281,"2,674","2,015",542,795,"3,521","1,069",91,125,,,
..30 to 34 years,"10,997",3,36,93,106,129,120,295,"2,372","1,655",565,758,"3,063","1,436",145,223,,,
..35 to 39 years,"10,814",29,43,125,115,173,145,268,"2,232","1,472",507,749,"2,949","1,574",158,275,,,
..40 to 44 years,"9,956",24,37,158,165,183,97,284,"2,250","1,388",421,635,"2,535","1,395",170,213,,,
..45 to 49 years,"10,351",39,60,156,126,153,126,241,"2,359","1,527",479,723,"2,716","1,244",172,232,,,
..50 to 54 years,"10,425",35,60,142,120,176,129,293,"2,774","1,545",511,752,"2,420","1,174",139,156,,,
..55 to 59 years,"11,117",24,83,133,137,147,169,312,"3,258","1,927",522,801,"2,282","1,054",103,164,,,
..60 to 64 years,"10,773",46,75,143,154,163,168,315,"3,252","1,736",486,822,"2,102","1,050",106,156,,,
..65 to 69 years,"9,158",36,72,128,143,121,160,228,"2,715","1,554",442,625,"1,716",985,79,156,,,
..70 to 74 years,"7,440",45,77,88,134,106,142,231,"2,377","1,247",300,436,"1,235",791,94,138,,,
..75 years and over,"12,267",77,153,269,457,283,303,416,"4,739","2,033",477,455,"1,614",822,59,111,,,