State,Total,From federal sources,From state sources,From local sources,,,,,,,,,,,,
  Reporting Areas,730004200,92900468,330434952,306668780,,,,,,,,,,,,
Alabama,10656351,1848577,5525643,3282131,,,,,,,,,,,,
Alaska,2769266,571188,1603626,594452,,,,,,,,,,,,
Arizona,12026169,2363986,4934335,4727848,,,,,,,,,,,,
Arkansas,6640554,1355855,4445880,838819,,,,,,,,,,,,
California,119506275,15914739,64870959,38720577,,,,,,,,,,,,
Colorado,14105260,1489886,5455142,7160232,,,,,,,,,,,,
Connecticut,6090895,1066365,4721830,302700,,,,,,,,,,,,
Delaware,2664862,340951,1492208,831703,,,,,,,,,,,,
District of Columbia,1597449,221113,(X),1376336,,,,,,,,,,,,
Florida,37243199,6598372,12021492,18623335,,,,,,,,,,,,
Georgia,27872261,4403112,11075591,12393558,,,,,,,,,,,,
Hawaii,3564705,517246,3019577,27882,,,,,,,,,,,,
Idaho,3306583,600584,1937541,768458,,,,,,,,,,,,
Illinois,42889622,4570936,17127775,21190911,,,,,,,,,,,,
Iowa,8339427,1107372,4155911,3076144,,,,,,,,,,,,
Kentucky,10624645,2109005,5021275,3494365,,,,,,,,,,,,
Maryland,18692902,2141011,7573912,8977979,,,,,,,,,,,,
Massachusetts,20859222,1959013,8771595,10128614,,,,,,,,,,,,
Michigan,23673112,3444785,12615664,7612663,,,,,,,,,,,,
Minnesota,15002841,1761445,8937992,4303404,,,,,,,,,,,,
Mississippi,5261819,1008803,2426137,1826879,,,,,,,,,,,,
Missouri,13259557,1684175,4733901,6841481,,,,,,,,,,,,
Montana,2354527,492651,931939,929937,,,,,,,,,,,,
Nebraska,5348208,648435,1605925,3093848,,,,,,,,,,,,
New Hampshire,3646520,321221,1071481,2253818,,,,,,,,,,,,
New Jersey,37940981,2808519,16991110,18141352,,,,,,,,,,,,
New York,78160089,3563690,29573543,45022856,,,,,,,,,,,,
North Carolina,18716157,3811401,10444447,4460309,,,,,,,,,,,,
North Dakota,2204578,402070,1081596,720912,,,,,,,,,,,,
Ohio,28503904,3976671,9740260,14786973,,,,,,,,,,,,
Oklahoma,8356683,1632328,3482881,3241474,,,,,,,,,,,,
Oregon,10645909,1151250,5628110,3866549,,,,,,,,,,,,
Pennsylvania,37597545,4669322,13344711,19583512,,,,,,,,,,,,
Rhode Island,2869443,335044,1135666,1398733,,,,,,,,,,,,
South Carolina,10353656,1638999,4481626,4233031,,,,,,,,,,,,
South Dakota,1998759,433140,611954,953665,,,,,,,,,,,,
Tennessee,13413981,2554864,5429197,5429920,,,,,,,,,,,,
Vermont,2287494,240385,1998879,48230,,,,,,,,,,,,
Virginia,20909291,2546995,8138166,10224130,,,,,,,,,,,,
Washington,21848579,2694058,13821963,5332558,,,,,,,,,,,,
Wisconsin,14150840,1634977,7385178,5130685,,,,,,,,,,,,
Wyoming,2050080,265929,1068334,715817,,,,,,,,,,,,